"symbol","date","open","high","low","close","volume","SP500_Close"
"^GSPC",1985-01-02,167.199996948242,167.199996948242,165.190002441406,165.369995117188,67820000,165.369995117188
"^GSPC",1985-01-03,165.369995117188,166.110000610352,164.380004882812,164.570007324219,88880000,164.570007324219
"^GSPC",1985-01-04,164.550003051758,164.550003051758,163.360000610352,163.679992675781,77480000,163.679992675781
"^GSPC",1985-01-07,163.679992675781,164.710006713867,163.679992675781,164.240005493164,86190000,164.240005493164
"^GSPC",1985-01-08,164.240005493164,164.589996337891,163.910003662109,163.990005493164,92110000,163.990005493164
"^GSPC",1985-01-09,163.990005493164,165.570007324219,163.990005493164,165.179992675781,99230000,165.179992675781
"^GSPC",1985-01-10,165.179992675781,168.309997558594,164.990005493164,168.309997558594,124700000,168.309997558594
"^GSPC",1985-01-11,168.309997558594,168.720001220703,167.580001831055,167.910003662109,107600000,167.910003662109
"^GSPC",1985-01-14,167.910003662109,170.550003051758,167.580001831055,170.509994506836,124900000,170.509994506836
"^GSPC",1985-01-15,170.509994506836,171.820007324219,170.399993896484,170.809997558594,155300000,170.809997558594
"^GSPC",1985-01-16,170.809997558594,171.940002441406,170.410003662109,171.190002441406,135500000,171.190002441406
"^GSPC",1985-01-17,171.190002441406,171.339996337891,170.220001220703,170.729995727539,113600000,170.729995727539
"^GSPC",1985-01-18,170.729995727539,171.419998168945,170.660003662109,171.320007324219,104700000,171.320007324219
"^GSPC",1985-01-21,171.320007324219,175.449996948242,171.309997558594,175.229995727539,146800000,175.229995727539
"^GSPC",1985-01-22,175.229995727539,176.630004882812,175.139999389648,175.479995727539,174800000,175.479995727539
"^GSPC",1985-01-23,175.479995727539,177.300003051758,175.149993896484,177.300003051758,144400000,177.300003051758
"^GSPC",1985-01-24,177.300003051758,178.160003662109,176.559997558594,176.710006713867,160700000,176.710006713867
"^GSPC",1985-01-25,176.710006713867,177.75,176.539993286133,177.350006103516,122400000,177.350006103516
"^GSPC",1985-01-28,177.350006103516,178.190002441406,176.559997558594,177.399993896484,128400000,177.399993896484
"^GSPC",1985-01-29,177.399993896484,179.190002441406,176.580001831055,179.179992675781,115700000,179.179992675781
"^GSPC",1985-01-30,179.179992675781,180.270004272461,179.050003051758,179.389999389648,1.7e+08,179.389999389648
"^GSPC",1985-01-31,179.389999389648,179.830001831055,178.559997558594,179.630004882812,132500000,179.630004882812
"^GSPC",1985-02-01,179.630004882812,179.630004882812,178.440002441406,178.630004882812,105400000,178.630004882812
"^GSPC",1985-02-04,178.630004882812,180.350006103516,177.75,180.350006103516,113700000,180.350006103516
"^GSPC",1985-02-05,180.350006103516,181.529998779297,180.070007324219,180.610000610352,143900000,180.610000610352
"^GSPC",1985-02-06,180.610000610352,181.5,180.320007324219,180.429992675781,1.41e+08,180.429992675781
"^GSPC",1985-02-07,180.429992675781,181.960006713867,180.429992675781,181.820007324219,151700000,181.820007324219
